m,n,k,processes,threads,error,generation_time,first_communication_time,second_communication_time,parallel_time,serial_time
32,32,32,0,4,0.000000,0.001020,0.000000,0.000000,0.000050,0.000016
32,32,32,0,8,0.122434,0.000938,0.000000,0.000000,0.000058,0.000014
32,32,32,0,12,0.155053,0.001430,0.000000,0.000000,0.000066,0.000015
32,32,32,0,16,0.174053,0.001640,0.000000,0.000000,0.000061,0.000015
32,32,32,0,20,0.096553,0.001651,0.000000,0.000000,0.000056,0.000016
32,32,32,0,4,0.000000,0.000698,0.000000,0.000000,0.000047,0.000000
32,32,32,0,8,0.000000,0.001245,0.000000,0.000000,0.000050,0.000000
32,32,32,0,12,0.000000,0.000984,0.000000,0.000000,0.000047,0.000000
32,32,32,0,16,0.000000,0.001228,0.000000,0.000000,0.000061,0.000000
32,32,32,0,20,0.000000,0.001324,0.000000,0.000000,0.000069,0.000000
32,32,32,0,4,0.000000,0.000570,0.000000,0.000000,0.000041,0.000000
32,32,32,0,8,0.000000,0.000694,0.000000,0.000000,0.000062,0.000000
32,32,32,0,12,0.000000,0.000843,0.000000,0.000000,0.000041,0.000000
32,32,32,0,16,0.000000,0.000856,0.000000,0.000000,0.000061,0.000000
32,32,32,0,20,0.000000,0.001059,0.000000,0.000000,0.000064,0.000000
32,32,32,0,4,0.000000,0.000451,0.000000,0.000000,0.000040,0.000000
32,32,32,0,8,0.000000,0.001163,0.000000,0.000000,0.000062,0.000000
32,32,32,0,12,0.000000,0.000706,0.000000,0.000000,0.000066,0.000000
32,32,32,0,16,0.000000,0.000826,0.000000,0.000000,0.000055,0.000000
32,32,32,0,20,0.000000,0.000952,0.000000,0.000000,0.000052,0.000000
64,64,64,0,4,0.000000,0.000609,0.000000,0.000000,0.000080,0.000044
64,64,64,0,8,0.000000,0.000743,0.000000,0.000000,0.000085,0.000044
64,64,64,0,12,0.000000,0.000841,0.000000,0.000000,0.000066,0.000042
64,64,64,0,16,0.000000,0.000992,0.000000,0.000000,0.000077,0.000051
64,64,64,0,20,0.087665,0.001039,0.000000,0.000000,0.000077,0.000038
64,64,64,0,4,0.000000,0.000513,0.000000,0.000000,0.000106,0.000000
64,64,64,0,8,0.000000,0.000706,0.000000,0.000000,0.000082,0.000000
64,64,64,0,12,0.000000,0.000744,0.000000,0.000000,0.000074,0.000000
64,64,64,0,16,0.000000,0.001939,0.000000,0.000000,0.000073,0.000000
64,64,64,0,20,0.000000,0.001028,0.000000,0.000000,0.000081,0.000000
64,64,64,0,4,0.000000,0.001369,0.000000,0.000000,0.000079,0.000000
64,64,64,0,8,0.000000,0.001379,0.000000,0.000000,0.000072,0.000000
64,64,64,0,12,0.000000,0.001550,0.000000,0.000000,0.000087,0.000000
64,64,64,0,16,0.000000,0.001320,0.000000,0.000000,0.000068,0.000000
64,64,64,0,20,0.000000,0.001337,0.000000,0.000000,0.000084,0.000000
64,64,64,0,4,0.000000,0.000756,0.000000,0.000000,0.000078,0.000000
64,64,64,0,8,0.000000,0.000789,0.000000,0.000000,0.000079,0.000000
64,64,64,0,12,0.000000,0.001811,0.000000,0.000000,0.000083,0.000000
64,64,64,0,16,0.000000,0.001843,0.000000,0.000000,0.000072,0.000000
64,64,64,0,20,0.000000,0.001764,0.000000,0.000000,0.000087,0.000000
128,128,128,0,4,0.000000,0.002508,0.000000,0.000000,0.000526,0.000989
128,128,128,0,8,0.000000,0.002942,0.000000,0.000000,0.000272,0.000982
128,128,128,0,12,0.000000,0.003003,0.000000,0.000000,0.000263,0.000981
128,128,128,0,16,0.000000,0.002920,0.000000,0.000000,0.000215,0.000889
128,128,128,0,20,0.000000,0.002948,0.000000,0.000000,0.000208,0.000622
128,128,128,0,4,0.000000,0.002719,0.000000,0.000000,0.000502,0.000000
128,128,128,0,8,0.000000,0.003169,0.000000,0.000000,0.000276,0.000000
128,128,128,0,12,0.000000,0.002890,0.000000,0.000000,0.000256,0.000000
128,128,128,0,16,0.000000,0.003321,0.000000,0.000000,0.000229,0.000000
128,128,128,0,20,0.000000,0.003847,0.000000,0.000000,0.000241,0.000000
128,128,128,0,4,0.000000,0.003088,0.000000,0.000000,0.000487,0.000000
128,128,128,0,8,0.000000,0.002829,0.000000,0.000000,0.000272,0.000000
128,128,128,0,12,0.000000,0.003025,0.000000,0.000000,0.000273,0.000000
128,128,128,0,16,0.000000,0.003161,0.000000,0.000000,0.000213,0.000000
128,128,128,0,20,0.000000,0.002456,0.000000,0.000000,0.000216,0.000000
128,128,128,0,4,0.000000,0.003031,0.000000,0.000000,0.000512,0.000000
128,128,128,0,8,0.000000,0.002344,0.000000,0.000000,0.000289,0.000000
128,128,128,0,12,0.000000,0.003424,0.000000,0.000000,0.000259,0.000000
128,128,128,0,16,0.000000,0.003512,0.000000,0.000000,0.000213,0.000000
128,128,128,0,20,0.000000,0.003788,0.000000,0.000000,0.000209,0.000000
256,256,256,0,4,0.000000,0.009395,0.000000,0.000000,0.003798,0.004538
256,256,256,0,8,0.000000,0.007221,0.000000,0.000000,0.001887,0.004063
256,256,256,0,12,0.000000,0.006713,0.000000,0.000000,0.001345,0.006024
256,256,256,0,16,0.000000,0.009616,0.000000,0.000000,0.000964,0.005583
256,256,256,0,20,0.000000,0.005246,0.000000,0.000000,0.000932,0.003551
256,256,256,0,4,0.000000,0.008709,0.000000,0.000000,0.003756,0.000000
256,256,256,0,8,0.000000,0.009644,0.000000,0.000000,0.001903,0.000000
256,256,256,0,12,0.000000,0.009655,0.000000,0.000000,0.001308,0.000000
256,256,256,0,16,0.000000,0.009797,0.000000,0.000000,0.000979,0.000000
