m,n,k,processes,threads,error,generation_time,first_communication_time,second_communication_time,parallel_time,serial_time
32,32,32,2,4,0.108336,0.000484,0.000055,0.000025,0.002433,0.000008
32,32,32,2,6,0.059885,0.000506,0.000052,0.000031,0.000450,0.000013
32,32,32,2,8,0.000000,0.000372,0.000043,0.000024,0.000460,0.000009
32,32,32,2,10,0.000000,0.000485,0.000056,0.000034,0.000598,0.000008
32,32,32,4,2,0.109803,0.000586,0.000062,0.000057,0.000630,0.000008
32,32,32,4,3,0.000000,0.000643,0.000056,0.000214,0.000666,0.000009
32,32,32,4,4,0.000000,0.000807,0.000079,0.000222,0.003697,0.000008
32,32,32,4,5,0.000000,0.000871,0.000061,0.000052,0.001560,0.000008
32,32,32,2,4,0.000000,0.000477,0.000052,0.000028,0.003302,0.000000
32,32,32,2,6,0.000000,0.000493,0.000050,0.000023,0.000702,0.000000
32,32,32,2,8,0.000000,0.000489,0.000058,0.000030,0.000551,0.000000
32,32,32,2,10,0.000000,0.000429,0.000047,0.000030,0.000871,0.000000
32,32,32,4,2,0.000000,0.000664,0.000064,0.000215,0.003746,0.000000
32,32,32,4,3,0.000000,0.000751,0.000055,0.000044,0.005799,0.000000
32,32,32,4,4,0.000000,0.000632,0.000064,0.000056,0.000388,0.000000
32,32,32,4,5,0.000000,0.000819,0.000071,0.000219,0.003771,0.000000
32,32,32,2,4,0.000000,0.000484,0.000054,0.000026,0.003071,0.000000
32,32,32,2,6,0.000000,0.000470,0.000051,0.000031,0.001207,0.000000
32,32,32,2,8,0.000000,0.000370,0.000040,0.000024,0.004079,0.000000
32,32,32,2,10,0.000000,0.000477,0.000056,0.000025,0.004037,0.000000
32,32,32,4,2,0.000000,0.000817,0.000092,0.000061,0.000427,0.000000
32,32,32,4,3,0.000000,0.000812,0.000073,0.000250,0.000658,0.000000
32,32,32,4,4,0.000000,0.000675,0.000062,0.000213,0.003913,0.000000
32,32,32,4,5,0.000000,0.000837,0.000098,0.000048,0.003215,0.000000
32,32,32,2,4,0.000000,0.000471,0.000052,0.000026,0.000392,0.000000
32,32,32,2,6,0.000000,0.000403,0.000047,0.000025,0.000388,0.000000
32,32,32,2,8,0.000000,0.000479,0.000053,0.000034,0.000570,0.000000
32,32,32,2,10,0.000000,0.000408,0.000057,0.000047,0.000859,0.000000
32,32,32,4,2,0.000000,0.000594,0.000055,0.000211,0.001805,0.000000
32,32,32,4,3,0.000000,0.000755,0.000075,0.000065,0.000541,0.000000
32,32,32,4,4,0.000000,0.000824,0.000062,0.000219,0.001645,0.000000
32,32,32,4,5,0.000000,0.000895,0.000081,0.000229,0.007379,0.000000
64,64,64,2,4,0.000000,0.000777,0.000882,0.000065,0.000482,0.000071
64,64,64,2,6,0.010630,0.000731,0.000675,0.000046,0.003762,0.000053
64,64,64,2,8,0.000000,0.000722,0.000834,0.000049,0.010015,0.000087
64,64,64,2,10,0.066036,0.000730,0.000834,0.000054,0.000617,0.000055
64,64,64,4,2,0.000000,0.000966,0.000082,0.000265,0.003932,0.000055
64,64,64,4,3,0.042347,0.000786,0.000067,0.000072,0.001937,0.000045
64,64,64,4,4,0.000000,0.000978,0.000084,0.000085,0.003859,0.000051
64,64,64,4,5,0.059029,0.000880,0.000065,0.000076,0.003587,0.000050
64,64,64,2,4,0.000000,0.000705,0.000774,0.000059,0.000429,0.000000
64,64,64,2,6,0.000000,0.000720,0.000779,0.000047,0.003515,0.000000
64,64,64,2,8,0.000000,0.000687,0.000808,0.000055,0.000583,0.000000
64,64,64,2,10,0.000000,0.000600,0.000742,0.000053,0.000576,0.000000
64,64,64,4,2,0.000000,0.001067,0.000068,0.000076,0.000886,0.000000
64,64,64,4,3,0.000000,0.000964,0.000082,0.000089,0.001957,0.000000
64,64,64,4,4,0.000000,0.000957,0.000092,0.000096,0.003910,0.000000
64,64,64,4,5,0.000000,0.000796,0.000066,0.000130,0.000733,0.000000
64,64,64,2,4,0.000000,0.000769,0.000846,0.000048,0.003833,0.000000
